Marque,Segment,Trage,SEGMENT_MODOP,reporting+70,PVFP,PM actu,collecte,rachatsNBtotactu,DCNBtotactu,prestations
DAV,EURO,+80ans,Ex PC,1,21956.26053934887,22921391.66222709,2497160.46622209,532940.7607413898,2056258.022134027,2589198.782875416
DAV,EURO,+80ans,GP,1,638068.2471917653,715716743.9084733,89174844.87949568,18405611.32494925,75725810.83036014,94131422.1553094
DAV,EURO,+80ans,PC,1,1485626.266932013,1631444174.273283,205738631.716018,37107036.97290374,179507642.2454093,216614679.218313
DAV,EURO,+80ans,PP,1,48311.17887140551,51927195.54675628,6288491.077604819,1395112.333509255,5275962.340371136,6671074.673880391
DAV,EURO,0-30ans,Ex PC,0,13983.18879740636,9966081.320227632,741228.7692888044,661857.3947877806,15120.22756134175,676977.6223491223
DAV,EURO,0-30ans,GP,0,1462076.436385268,1116094852.366278,65822408.23315775,57434201.93401647,1076585.913019954,58510787.84703644
DAV,EURO,0-30ans,NC,0,0.0,0.0,0.0,0.0,0.0,0.0
DAV,EURO,0-30ans,PC,0,1411884.277450862,835868195.7989606,49470726.4010751,44859472.38441325,661287.1286385442,45520759.5130518
DAV,EURO,0-30ans,PP,0,75250.05979735497,57592318.61884052,4004801.610175419,3652593.670262111,50566.84364952983,3703160.51391164
DAV,EURO,30-40ans,Ex PC,0,11834.14931206414,8134438.117377709,607671.3646498913,535078.3504081536,22746.66849216148,557825.018900315
DAV,EURO,30-40ans,GP,0,1469367.104870785,979963395.4988375,58782370.38501869,47172618.4018564,3182914.349436476,50355532.75129287
DAV,EURO,30-40ans,PC,0,1130893.93761521,641835708.4081825,39742430.49365347,32718458.30414205,1855812.254326119,34574270.55846818
DAV,EURO,30-40ans,PP,0,202335.5383046316,123585553.0484985,7449233.091126574,5750720.561149188,450659.7312734313,6201380.29242262
DAV,EURO,40-50ans,Ex PC,0,22894.47337691083,14394078.75555968,846124.2057110225,675543.5126419332,89746.23215643839,765289.7447983716
DAV,EURO,40-50ans,GP,0,2416993.723964524,1525884055.338879,88418396.31185035,62327255.33717045,11880212.23764317,74207467.57481363
DAV,EURO,40-50ans,PC,0,2709065.307955043,1494090288.734378,83926246.29628941,60600862.05593815,11175891.55771681,71776753.61365497
DAV,EURO,40-50ans,PP,0,568246.8457056645,324731874.2068622,19693352.97605392,13409221.93942255,2619761.898829736,16028983.83825228
DAV,EURO,50-60ans,Ex PC,0,33958.70349219619,22321654.3440172,1470405.02295664,1055472.179883091,355524.9573322987,1410997.137215389
DAV,EURO,50-60ans,GP,0,3986035.841329764,2693637530.549563,163385204.3829959,97076889.3678895,48672781.55919051,145749670.92708
DAV,EURO,50-60ans,PC,0,6610840.850995342,3806029767.502003,219132839.7626301,135079846.760507,66061504.17740112,201141350.9379082
DAV,EURO,50-60ans,PP,0,1309139.211731381,763227497.7848293,45142625.48692634,26185709.1508343,13968125.71898846,40153834.86982276
DAV,EURO,60-70ans,Ex PC,0,41798.21456996168,31327814.80784822,2049688.076883006,1191998.477388064,924928.7641779351,2116927.241566
DAV,EURO,60-70ans,GP,0,3946780.650254001,3063843306.463675,205397246.7244956,104556463.7893655,99637813.72006352,204194277.509429
DAV,EURO,60-70ans,NC,0,0.0,0.0,0.0,0.0,0.0,0.0
DAV,EURO,60-70ans,PC,0,9094585.488845881,5891484818.914798,361144561.9306606,183705566.7368156,188026495.3652369,371732062.1020526
DAV,EURO,60-70ans,PP,0,2008145.956613169,1374605667.312743,85072884.08014774,44226218.35038872,43748525.58571015,87974743.93609887
DAV,EURO,70-75ans,Ex PC,1,17399.70635223919,14874810.33497942,1156137.413506079,627466.6785046387,579933.9821548023,1207400.660659441
DAV,EURO,70-75ans,GP,1,1195881.96417232,1020011467.924993,80632805.45837009,32315880.89408355,49987333.97386897,82303214.86795253
DAV,EURO,70-75ans,PC,1,3018017.541989209,2213446864.284604,154118698.7254321,59478276.22113219,104567449.1216803,164045725.3428125
DAV,EURO,70-75ans,PP,1,668880.7157764523,525699444.9363805,37112104.17147052,14769307.9987651,24946801.25821431,39716109.25697941
DAV,EURO,75-80ans,Ex PC,1,5969.333668910795,5436772.809909982,509944.2766587986,238811.421251037,294468.0951388213,533279.5163898584
DAV,EURO,75-80ans,GP,1,703218.1090645634,625411945.9487106,54637540.12111881,17723563.31789638,39929799.74721432,57653363.0651107
DAV,EURO,75-80ans,PC,1,1568797.774445208,1251353025.861515,105460412.3462239,32428868.28356406,79643682.86276975,112072551.1463338
DAV,EURO,75-80ans,PP,1,135141.1583405855,115897090.229467,9769807.08631638,3513254.08642555,6894030.735739286,10407284.82216484
DAV,Prevoyance,+80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
DAV,Prevoyance,0-30ans,NC,0,1496297.842123484,0.0,25434932.63120548,0.0,7279662.242738666,7279662.242738666
DAV,Prevoyance,30-40ans,NC,0,2092464.351462827,0.0,41404148.77965418,0.0,12998577.68626209,12998577.68626209
DAV,Prevoyance,40-50ans,NC,0,2656108.424258946,0.0,48322476.17513992,0.0,15037565.99360815,15037565.99360815
DAV,Prevoyance,50-60ans,NC,0,1845223.718923423,0.0,31031213.3735354,0.0,9609879.293189816,9609879.293189816
DAV,Prevoyance,60-70ans,NC,0,2149333.291386992,0.0,33858558.52990124,0.0,7939724.950268283,7939724.950268283
DAV,Prevoyance,70-75ans,NC,1,5516.58012700316,0.0,106495.7022627288,0.0,34705.14361560406,34705.14361560406
DAV,Prevoyance,75-80ans,NC,1,2231.669184304358,0.0,37283.67925399175,0.0,12045.30928367571,12045.30928367571
DAV,UC,+80ans,Ex PC,1,1003.360960923443,174170.1297309112,17091.35019831111,4190.826704162832,14555.36314958885,18746.18985375168
DAV,UC,+80ans,GP,1,26386.47027123157,14142775.52512842,1579494.137193566,401013.2791248081,1311654.437235102,1712667.716359909
DAV,UC,+80ans,PC,1,148808.7162813845,80509798.14163087,9153512.116477013,2129394.123262846,7697625.311156059,9827019.434418906
DAV,UC,+80ans,PP,1,2578.455850469565,803991.9498016781,88934.28852727807,25676.59321354785,70796.19690057474,96472.79011412262
DAV,UC,0-30ans,Ex PC,0,19048.12821863743,2662775.801339679,161928.8558882716,121965.2026617226,4870.851104241635,126836.0537659642
DAV,UC,0-30ans,GP,0,1161636.421860441,243917065.6739272,13746235.53425644,11271262.93109279,242460.4113856411,11513723.34247844
DAV,UC,0-30ans,PC,0,3268343.844518214,625993514.4391555,33537406.0929315,27755687.03235675,456273.2285059361,28211960.26086269
DAV,UC,0-30ans,PP,0,127802.1233508155,19272306.01249113,1222562.041518594,1097112.207208089,15692.01992659886,1112804.227134688
DAV,UC,30-40ans,Ex PC,0,21223.26570105358,2802245.37567922,161049.8860750179,126233.9045050935,7186.478098468715,133420.3826035622
DAV,UC,30-40ans,GP,0,1499043.519706726,305354171.8593219,16547045.60713275,11019980.73824833,901347.7763220653,11921328.5145704
DAV,UC,30-40ans,PC,0,3215419.849561142,578843575.8243364,32048512.01885601,22276145.87904808,1457313.265525192,23733459.14457327
DAV,UC,30-40ans,PP,0,388040.3495768114,56202036.65047863,3465261.169815196,2410058.521054924,193235.9090812326,2603294.430136156
DAV,UC,40-50ans,Ex PC,0,35684.0541568804,4373693.579136938,247309.4617750161,199940.4735184011,23926.57579765331,223867.0493160544
DAV,UC,40-50ans,GP,0,2459829.736072552,511135827.6745327,27073404.01069759,15652250.60748049,3415187.795457367,19067438.40293786
DAV,UC,40-50ans,PC,0,7234578.261158158,1279566700.650941,69218700.21880935,42568725.94419638,8060974.730292172,50629700.67448854
DAV,UC,40-50ans,PP,0,788934.9620931037,123253182.2053189,7619446.104934659,4951446.895324825,832212.1234051948,5783659.01873002
DAV,UC,50-60ans,Ex PC,0,42854.53723495067,5490864.401176784,298164.4346211042,194700.6689464496,87184.05269139433,281884.7216378439
DAV,UC,50-60ans,GP,0,3744649.179464122,728857308.7285028,40196704.85030923,20429640.69110837,11475801.51156007,31905442.20266844
DAV,UC,50-60ans,PC,0,15647578.59645456,2750156437.405059,153628549.7220673,82463308.08124103,42105316.37776226,124568624.4590033
DAV,UC,50-60ans,PP,0,1783328.310175388,256033754.1432467,14696719.21538063,8075561.15213878,4025038.434156725,12100599.5862955
DAV,UC,60-70ans,Ex PC,0,94600.37246354537,12200372.64612831,662417.3220326682,311534.0070136524,366340.6589484538,677874.6659621063
DAV,UC,60-70ans,GP,0,3794654.337897057,702821544.8738012,40814531.06818993,19853297.68612146,20560091.51108798,40413389.19720946
DAV,UC,60-70ans,PC,0,19246857.40792274,3365844394.793194,197239126.4227399,88150613.7936643,101014256.841196,189164870.6348603
DAV,UC,60-70ans,PP,0,2780284.947359801,422452595.774472,24880472.76696898,12218469.67957563,12320499.48656867,24538969.1661443
DAV,UC,70-75ans,Ex PC,1,17362.6950450404,2378627.333840278,154250.5801265585,56220.57498670759,110852.4582277706,167073.0332144782
DAV,UC,70-75ans,GP,1,895627.8961395577,190550574.3016994,13059174.95776452,5283029.300116314,8497315.534629826,13780344.83474614
DAV,UC,70-75ans,PC,1,6095842.405159785,1173729853.827581,79822301.50783701,29701699.53446306,53299144.22233046,83000843.75679351
DAV,UC,70-75ans,PP,1,768504.9994587568,126389448.2482291,8454553.996926593,3407669.941193202,5514414.592819976,8922084.534013178
DAV,UC,75-80ans,Ex PC,1,3805.659142386909,547048.8552411828,41962.06790778662,13486.49545193749,32989.5155708481,46476.01102278558
DAV,UC,75-80ans,GP,1,254991.880212315,69889413.98815547,5660439.949614013,1905648.12864139,4166372.130061705,6072020.258703095
DAV,UC,75-80ans,PC,1,1879103.606608149,427122167.6662626,35050653.02671405,10705359.79437696,26625467.17251356,37330826.96689053
DAV,UC,75-80ans,PP,1,139305.6529918076,24646247.56349967,1961536.30178389,753944.8341893309,1371223.486251365,2125168.320440696
MMA Agents,EURO,+80ans,GP,1,174681.5208559877,159030075.1904459,24551943.75570996,6530912.191658466,18891425.49715088,25422337.68880935
MMA Agents,EURO,+80ans,PC,1,259030.8836312897,214115996.7717206,32260985.11837419,7046858.084770001,26362034.35210337,33408892.43687337
MMA Agents,EURO,+80ans,PP,1,7005.842293244405,5920597.074038885,1084460.66193301,499950.1320831334,614791.6554774378,1114741.787560571
MMA Agents,EURO,0-30ans,GP,0,213558.0072601845,162265532.5934099,10786314.55887824,10012245.78864205,123357.6189404855,10135603.40758254
MMA Agents,EURO,0-30ans,PC,0,241291.4540724696,129665779.2055651,7192119.271837805,6530263.531802009,85503.21605194145,6615766.747853951
MMA Agents,EURO,0-30ans,PP,0,6042.115090810186,4719078.482947169,614585.6080462766,621552.5334614628,2347.783685164478,623900.3171466273
MMA Agents,EURO,30-40ans,GP,0,353817.9714397092,229278152.3603875,13349087.96495908,10622242.98244158,619957.0204922509,11242200.00293383
MMA Agents,EURO,30-40ans,PC,0,181741.3919318427,94370646.6005148,5300267.167949809,4351417.885285816,250124.2579331373,4601542.143218953
MMA Agents,EURO,30-40ans,PP,0,5001.172357661847,2919534.69063251,172883.97809958,126638.1123582765,9655.374198991149,136293.4865572676
MMA Agents,EURO,40-50ans,GP,0,776862.2682535147,487428937.776287,26650590.19837983,17803165.83440986,3520137.940676917,21323303.77508677
MMA Agents,EURO,40-50ans,PC,0,510187.7973241458,268303510.3388745,14665201.5640308,11045175.65830748,1915452.026889479,12960627.68519696
MMA Agents,EURO,40-50ans,PP,0,53126.00664152282,32892239.48193504,2361317.55657539,1666379.162165127,230333.9194214798,1896713.081586607
MMA Agents,EURO,50-60ans,GP,0,1335985.538171731,837095264.6396966,52166281.73808343,31941287.5605098,13982089.56061541,45923377.12112521
MMA Agents,EURO,50-60ans,PC,0,1389682.50969141,764240396.108615,43163873.88760056,27530128.16504044,12860505.74711282,40390633.91215327
MMA Agents,EURO,50-60ans,PP,0,94297.67653053772,58642801.7661652,4737257.806304908,3195987.639131317,821769.3802185879,4017757.019349905
MMA Agents,EURO,60-70ans,GP,0,1185860.103836628,817532471.0205343,59811804.21057831,36996468.52655997,23560658.80826042,60557127.33482039
MMA Agents,EURO,60-70ans,PC,0,1734838.829410262,1061452685.329818,69352273.06669287,39611768.55570709,32408002.68743376,72019771.24314085
MMA Agents,EURO,60-70ans,PP,0,105355.6063825177,71208061.79457046,7207694.827532439,5634711.061171014,1680249.998112726,7314961.05928374
MMA Agents,EURO,70-75ans,GP,1,338568.1139705693,258413623.530296,22617566.19263687,11801430.75875615,11680465.0565377,23481895.81529386
MMA Agents,EURO,70-75ans,PC,1,461581.8232091398,301742848.3346224,23547350.90292476,10913444.82246107,13954289.53755418,24867734.36001524
MMA Agents,EURO,70-75ans,PP,1,20340.18572583307,14364233.67263348,1787200.784507798,1360671.523427883,501694.938068238,1862366.461496121
MMA Agents,EURO,75-80ans,GP,1,186499.3495409534,144007635.5916401,15001132.23994446,6388293.284874633,9074782.851733955,15463076.13660859
MMA Agents,EURO,75-80ans,PC,1,271565.2437444353,184784404.7887219,17857627.16499674,6706114.233070641,12000425.33275386,18706539.5658245
MMA Agents,EURO,75-80ans,PP,1,10147.00862565849,6956634.127713239,960161.0421045348,612602.0962795573,379555.0791243659,992157.1754039233
MMA Agents,Prevoyance,+80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Agents,Prevoyance,0-30ans,NC,0,128377.6846863643,0.0,3181877.800140964,0.0,1059565.307446941,1059565.307446941
MMA Agents,Prevoyance,30-40ans,NC,0,279577.1733155238,0.0,8572496.415965507,0.0,2854641.306516512,2854641.306516512
MMA Agents,Prevoyance,40-50ans,NC,0,385233.0293295131,0.0,9370208.653716708,0.0,3120279.481687665,3120279.481687665
MMA Agents,Prevoyance,50-60ans,NC,0,172609.9045078388,0.0,3960158.361551129,0.0,1318732.734396526,1318732.734396526
MMA Agents,Prevoyance,60-70ans,NC,0,41271.50786429441,0.0,769693.3803404841,0.0,256307.8956533812,256307.8956533812
MMA Agents,Prevoyance,70-75ans,NC,1,1151.493322389915,0.0,36513.94542915473,0.0,12159.14382790853,12159.14382790853
MMA Agents,Prevoyance,75-80ans,NC,1,136.9046246679483,0.0,4547.8010522882,0.0,1514.417750411971,1514.417750411971
MMA Agents,UC,+80ans,GP,1,-2823.922223732341,8066100.827607138,1011880.151629097,229816.5597996286,864690.2068906978,1094506.766690326
MMA Agents,UC,+80ans,PC,1,15967.38823853251,23150733.40009075,2621201.341748613,525466.5567245624,2315244.482389813,2840711.039114375
MMA Agents,UC,+80ans,PP,1,-255.3864386372421,222894.8860825407,34278.89,13187.25950679371,24046.28931482913,37233.54882162284
MMA Agents,UC,0-30ans,GP,0,222140.5550579569,84252533.13210675,4414932.54377233,3412993.621232181,72630.4502084734,3485624.071440654
MMA Agents,UC,0-30ans,PC,0,929809.9759117179,137900485.5872775,6379041.5963426,4813621.011738414,90943.92511129574,4904564.93684971
MMA Agents,UC,0-30ans,PP,0,7229.157460543719,2333413.17733042,212913.7213354185,212977.9228560221,1162.745265282278,214140.6681213044
MMA Agents,UC,30-40ans,GP,0,404751.3470458514,139197968.7490023,6802474.293998596,3812141.116935623,365197.2347927556,4177338.351728379
MMA Agents,UC,30-40ans,PC,0,389740.0169752904,70088188.84809263,3379271.598052839,2108390.287190185,191475.3263505605,2299865.613540745
MMA Agents,UC,30-40ans,PP,0,14419.23803409028,4912661.503728569,296451.4317777326,168990.0000889039,14782.23912981994,183772.2392187238
MMA Agents,UC,40-50ans,GP,0,883932.8186731122,278290097.2444132,13826147.55280727,6846445.108615189,1671182.258628003,8517627.367243191
MMA Agents,UC,40-50ans,PC,0,986797.7228069343,191697068.8552611,8912508.644411733,4928710.5772379,1331704.530881088,6260415.108118989
MMA Agents,UC,40-50ans,PP,0,94781.27649317928,28784810.30528214,1885239.951871202,1109071.857037771,163309.385706113,1272381.242743884
MMA Agents,UC,50-60ans,GP,0,1110702.815807413,346447222.2547218,19489276.04468113,9080174.542628866,5232535.941309174,14312710.48393804
MMA Agents,UC,50-60ans,PC,0,2303999.908767251,488666288.4946972,24410517.4292979,11917134.33833521,7677430.883140343,19594565.22147555
MMA Agents,UC,50-60ans,PP,0,93700.98712357102,30747914.57608203,2249698.562079018,1183665.584860111,390627.7557930398,1574293.340653151
MMA Agents,UC,60-70ans,GP,0,891773.7585822666,261547161.2332402,15798523.4717626,8031438.382535634,7503382.482745618,15534820.86528125
MMA Agents,UC,60-70ans,PC,0,2206984.818117154,531713302.9873888,29961567.622485,13204148.58989791,16150038.60529219,29354187.19519011
MMA Agents,UC,60-70ans,PP,0,98767.74731013732,31284695.57434496,2681969.557220039,1824524.914474722,759658.3423244716,2584183.256799193
MMA Agents,UC,70-75ans,GP,1,189906.184616207,71367772.17668569,5128992.966471118,2106033.871212797,3313409.155548103,5419443.026760899
MMA Agents,UC,70-75ans,PC,1,490104.5254477253,138480349.9798965,9361859.94397769,3249857.526290732,6607694.355551145,9857551.881841877
MMA Agents,UC,70-75ans,PP,1,11920.77229381481,4580103.077562249,438510.2872051167,284525.782774569,184648.5141047333,469174.2968793022
MMA Agents,UC,75-80ans,GP,1,40771.52151556484,23313777.20559645,2021553.048968124,698413.6150830566,1473663.212120922,2172076.827203978
MMA Agents,UC,75-80ans,PC,1,160534.1379865851,66799925.18735319,5590867.571378379,1554832.916686633,4460306.142351078,6015139.059037711
MMA Agents,UC,75-80ans,PP,1,3022.357939825313,1787475.003824396,188521.7860265774,103940.9160998004,99478.60329262023,203419.5193924207
MMA Courtage,EURO,+80ans,PC,1,171306.7202042103,150496221.8107508,23961095.26624341,7195783.744478116,17729074.60115023,24924858.34562834
MMA Courtage,EURO,0-30ans,PC,0,640326.0344599701,379794824.3225102,25116582.56712012,23738368.45501995,203588.7541921373,23941957.20921209
MMA Courtage,EURO,30-40ans,PC,0,409019.3620798369,230702609.6233349,17832068.95537011,15022660.61798334,593000.4519456152,15615661.06992896
MMA Courtage,EURO,40-50ans,PC,0,850665.3217042406,463670179.2275612,31406463.12406498,24105535.07139136,2949890.955129629,27055426.02652099
MMA Courtage,EURO,50-60ans,PC,0,1709686.037211896,963680333.5536622,68338152.57635087,47625941.29602972,15110906.41802441,62736847.71405414
MMA Courtage,EURO,60-70ans,PC,0,1677253.617327196,1041163667.58206,78236764.85487758,48931814.45118202,30932420.00333751,79864234.45451953
MMA Courtage,EURO,70-75ans,PC,1,359163.0071431136,246949446.6387149,20923183.08924452,11404915.56081123,10750397.95369451,22155313.51450574
MMA Courtage,EURO,75-80ans,PC,1,206625.7759536132,149874244.6147222,15641649.67174904,7231363.032708755,9252678.831833424,16484041.86454218
MMA Courtage,Prevoyance,+80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,Prevoyance,0-30ans,NC,0,4102.812047856007,0.0,161557.9734287043,0.0,53798.80515175855,53798.80515175855
MMA Courtage,Prevoyance,30-40ans,NC,0,21989.96866499761,0.0,821600.4164160395,0.0,273592.9386665412,273592.9386665412
MMA Courtage,Prevoyance,40-50ans,NC,0,21720.61700592455,0.0,629619.5231967017,0.0,209663.3012245017,209663.3012245017
MMA Courtage,Prevoyance,50-60ans,NC,0,6915.41286190051,0.0,155749.512599086,0.0,51864.58769549563,51864.58769549563
MMA Courtage,Prevoyance,60-70ans,NC,0,1336.619113601984,0.0,23591.61435148804,0.0,7856.007579045516,7856.007579045516
MMA Courtage,Prevoyance,70-75ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,Prevoyance,75-80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,UC,+80ans,PC,1,10356.67875252421,28428157.42378066,3641976.945423372,961760.4543438707,2868880.023048095,3830640.477391966
MMA Courtage,UC,0-30ans,PC,0,1076189.850413923,324621030.4040412,19515520.10047819,17315331.57915116,185634.5052579434,17500966.08440911
MMA Courtage,UC,30-40ans,PC,0,1330711.887851023,316147087.6267912,19688126.28600445,14011944.33969233,732607.5445953619,14744551.88428769
MMA Courtage,UC,40-50ans,PC,0,2716937.909176384,624147201.2519903,38808611.45484083,25357067.40473611,3345832.827460667,28702900.23219677
MMA Courtage,UC,50-60ans,PC,0,4109057.611541266,1011437625.105557,69388068.96003278,42683458.3226478,13123956.03276266,55807414.35541046
MMA Courtage,UC,60-70ans,PC,0,3679349.65229977,1004298493.318166,71555456.20432736,38008276.71740122,27977975.66914488,65986252.3865461
MMA Courtage,UC,70-75ans,PC,1,1161402.689127856,390880507.823429,30480176.044946,13205254.9328418,17669033.08106672,30874288.01390851
MMA Courtage,UC,75-80ans,PC,1,290346.9126720644,122287893.4713167,11596698.60039063,4350029.380495538,7667916.481933241,12017945.86242878
MMA CAP,EURO,+80ans,PC,1,17200.62971645757,113005418.3382404,17618212.65791793,4117815.633327787,13952279.36214934,18070094.99547712
MMA CAP,EURO,0-30ans,PC,0,106215.7095540939,75838599.87959166,4673661.625220531,4197112.642351433,66111.63165082388,4263224.274002257
MMA CAP,EURO,30-40ans,PC,0,88597.46844318644,64879626.81404629,3941100.456009268,3325279.426735548,166048.7295398485,3491328.156275396
MMA CAP,EURO,40-50ans,PC,0,191500.3220813805,138004109.3022524,7764898.094837225,5549706.567465983,1004860.763784735,6554567.331250719
MMA CAP,EURO,50-60ans,PC,0,490832.5434943165,363272339.1932238,22199695.2752286,13435541.24760053,6391537.830267767,19827079.0778683
MMA CAP,EURO,60-70ans,PC,0,533555.6976534994,410261712.4011829,29427484.07736161,16704928.28450279,12397838.08289904,29102766.36740183
MMA CAP,EURO,70-75ans,PC,1,136982.5741690066,102303944.1835383,9216221.26357242,4304141.442749838,4887427.190850823,9191568.633600662
MMA CAP,EURO,75-80ans,PC,1,77143.3451354855,58887523.35167286,6585309.063254979,2451159.11684518,4018881.826770367,6470040.943615546
MMA CAP,Prevoyance,0-30ans,NC,0,6817.921788277107,0.0,125381.5408707858,0.0,41752.05310997169,41752.05310997169
MMA CAP,Prevoyance,30-40ans,NC,0,26573.73905130722,0.0,471972.6995689509,0.0,157166.9089564606,157166.9089564606
MMA CAP,Prevoyance,40-50ans,NC,0,52640.26116308396,0.0,859109.660878798,0.0,286083.5170726397,286083.5170726397
MMA CAP,Prevoyance,50-60ans,NC,0,47043.9436798961,0.0,691764.8200982782,0.0,230357.6850927266,230357.6850927266
MMA CAP,Prevoyance,60-70ans,NC,0,11159.96501959299,0.0,151194.7548547512,0.0,50347.85336663214,50347.85336663214
MMA CAP,Prevoyance,70-75ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA CAP,Prevoyance,75-80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA CAP,UC,+80ans,PC,1,-7035.74534460433,6980336.908014365,799407.4705442062,177442.0144893745,674834.0124873722,852276.0269767466
MMA CAP,UC,0-30ans,PC,0,450946.7713597253,71159286.7183663,3443012.436870554,2436059.067123042,70570.49272429738,2506629.55984734
MMA CAP,UC,30-40ans,PC,0,550258.9737082684,85675083.47795945,3932620.605397007,2488144.610558213,214474.7964564564,2702619.40701467
MMA CAP,UC,40-50ans,PC,0,804199.4174552707,149413081.0768129,7073653.349659011,3662089.744440758,1034075.019772285,4696164.764213042
MMA CAP,UC,50-60ans,PC,0,1706219.984665169,349755357.2844876,17955481.44080519,8296414.047116023,5870973.860182267,14167387.90729829
MMA CAP,UC,60-70ans,PC,0,1499320.582122403,327586960.3074109,18680602.18938743,7793938.224332415,10001526.91550317,17795465.13983559
MMA CAP,UC,70-75ans,PC,1,301022.6754854046,81098590.40334333,5506713.599738556,1886520.286160241,3833904.655105286,5720424.941265526
MMA CAP,UC,75-80ans,PC,1,77850.23472876824,37427831.96678448,3154712.358228839,889707.823786291,2454056.543584827,3343764.367371118
MMA,EURO,+80ans,GP,1,174681.5208559877,159030075.1904459,24551943.75570996,6530912.191658466,18891425.49715088,25422337.68880935
