Marque,Trage,PAT,%NBV,size
DAV,0-30ans,Confirme,0.0563827661380889,3
DAV,30-40ans,Confirme,0.060541255415598,3
DAV,40-50ans,Confirme,0.0649296225268056,3
DAV,50-60ans,Confirme,0.0597122450858437,3
DAV,60-70ans,Confirme,0.050756215641513,3
DAV,70 ans et +,Confirme,0.0240881238570857,3
DAV,0-30ans,Grand Public,0.0329742060944891,3
DAV,30-40ans,Grand Public,0.0394057299592869,3
DAV,40-50ans,Grand Public,0.0422265775268631,3
DAV,50-60ans,Grand Public,0.0379733398213419,3
DAV,60-70ans,Grand Public,0.031442179807781,3
DAV,70 ans et +,Grand Public,0.0151757347345194,3
DAV,0-30ans,Potentiel,0.0388440898085152,3
DAV,30-40ans,Potentiel,0.0540909980588053,3
DAV,40-50ans,Potentiel,0.0496903229791431,3
DAV,50-60ans,Potentiel,0.0516795017942024,3
DAV,60-70ans,Potentiel,0.0435496563386507,3
DAV,70 ans et +,Potentiel,0.0276829264675574,3
GMF,0-30ans,Confirme,0.0971677334165054,3
GMF,30-40ans,Confirme,0.0806695368838373,3
GMF,40-50ans,Confirme,0.0892226238924904,3
GMF,50-60ans,Confirme,0.0855908078228846,3
GMF,60-70ans,Confirme,0.0635211996329067,3
GMF,70 ans et +,Confirme,0.023994873796397,3
GMF,0-30ans,Grand Public,0.0397191174619777,3
GMF,30-40ans,Grand Public,0.0453801045383189,3
GMF,40-50ans,Grand Public,0.0495303477153664,3
GMF,50-60ans,Grand Public,0.0402376915414062,3
GMF,60-70ans,Grand Public,0.0300165607252815,3
GMF,70 ans et +,Grand Public,0.0145780001834352,3
GMF,0-30ans,Potentiel,0.0484174555100803,3
GMF,30-40ans,Potentiel,0.0464684386923546,3
GMF,40-50ans,Potentiel,0.0561804505808018,3
GMF,50-60ans,Potentiel,0.0565202073964945,3
GMF,60-70ans,Potentiel,0.0434221044839568,3
GMF,70 ans et +,Potentiel,0.0262764725812355,3
MAAF,0-30ans,Confirme,0.0664050356812982,3
MAAF,30-40ans,Confirme,0.0770123947287783,3
MAAF,40-50ans,Confirme,0.0860045837296642,3
MAAF,50-60ans,Confirme,0.0812006351883543,3
MAAF,60-70ans,Confirme,0.0669872541447835,3
MAAF,70 ans et +,Confirme,0.0345424962182632,3
MAAF,0-30ans,Grand Public,0.0253323974883288,3
MAAF,30-40ans,Grand Public,0.0339339154251215,3
MAAF,40-50ans,Grand Public,0.0376057393561561,3
MAAF,50-60ans,Grand Public,0.0398725892896177,3
MAAF,60-70ans,Grand Public,0.0396549976395135,3
MAAF,70 ans et +,Grand Public,0.0213345526493305,3
MAAF,0-30ans,Potentiel,0.0413934708895043,3
MAAF,30-40ans,Potentiel,0.0594473612767908,3
MAAF,40-50ans,Potentiel,0.0501864877234714,3
MAAF,50-60ans,Potentiel,0.0535923266284723,3
MAAF,60-70ans,Potentiel,0.0518425698300642,3
MAAF,70 ans et +,Potentiel,0.0363995410433195,3
MMA,0-30ans,Confirme,0.0519418431401318,3
MMA,30-40ans,Confirme,0.0545566969456058,3
MMA,40-50ans,Confirme,0.0557876640457991,3
MMA,50-60ans,Confirme,0.0477050413678043,3
MMA,60-70ans,Confirme,0.0381250464441327,3
MMA,70 ans et +,Confirme,0.0185598772523723,3
MMA,0-30ans,Grand Public,0.0286620274886637,3
MMA,30-40ans,Grand Public,0.0376432014916542,3
MMA,40-50ans,Grand Public,0.0410308532554088,3
MMA,50-60ans,Grand Public,0.0341451302548879,3
MMA,60-70ans,Grand Public,0.0274781756157384,3
MMA,70 ans et +,Grand Public,0.0131887146397312,3
MMA,0-30ans,Potentiel,0.0160378046001199,3
MMA,30-40ans,Potentiel,0.0413785322459022,3
MMA,40-50ans,Potentiel,0.0348299258494693,3
MMA,50-60ans,Potentiel,0.0269070899748,3
MMA,60-70ans,Potentiel,0.0206400688386721,3
MMA,70 ans et +,Potentiel,0.011613449945294,3
MMA Agents,0-30ans,Confirme,0.086293386495035,3
MMA Agents,30-40ans,Confirme,0.0658423706966548,3
MMA Agents,40-50ans,Confirme,0.0634915565123474,3
MMA Agents,50-60ans,Confirme,0.0546609794994184,3
MMA Agents,60-70ans,Confirme,0.0396905770653268,3
MMA Agents,70 ans et +,Confirme,0.0181804687084534,3
MMA Agents,0-30ans,Grand Public,0.0286620274886637,3
MMA Agents,30-40ans,Grand Public,0.0376432014916542,3
MMA Agents,40-50ans,Grand Public,0.0410308532554088,3
MMA Agents,50-60ans,Grand Public,0.0341451302548879,3
MMA Agents,60-70ans,Grand Public,0.0274781756157384,3
MMA Agents,70 ans et +,Grand Public,0.0131887146397312,3
MMA Agents,0-30ans,Potentiel,0.0160378046001199,3
MMA Agents,30-40ans,Potentiel,0.0413785322459022,3
MMA Agents,40-50ans,Potentiel,0.0348299258494693,3
MMA Agents,50-60ans,Potentiel,0.0269070899748,3
MMA Agents,60-70ans,Potentiel,0.0206400688386721,3
MMA Agents,70 ans et +,Potentiel,0.011613449945294,3
MMA CAP,0-30ans,Confirme,0.0686441856173634,3
MMA CAP,30-40ans,Confirme,0.081137804751919,3
MMA CAP,40-50ans,Confirme,0.0671022197322344,3
MMA CAP,50-60ans,Confirme,0.0547140545214486,3
MMA CAP,60-70ans,Confirme,0.0422564362361878,3
MMA CAP,70 ans et +,Confirme,0.0140661288709739,3
MMA Courtage,0-30ans,Confirme,0.0384592206568846,3
MMA Courtage,30-40ans,Confirme,0.0463678623935412,3
MMA Courtage,40-50ans,Confirme,0.0508096481030074,3
MMA Courtage,50-60ans,Confirme,0.0422486261791187,3
MMA Courtage,60-70ans,Confirme,0.0357602232729413,3
MMA Courtage,70 ans et +,Confirme,0.0206993867535008,3
